Number,STATUS,A,L,D,E,F,G,H,I,B,J,K,C,M,N,DATA_ID
0,"Selected, dropped out",A1,3,,0,0,,,,B1,,,,,,AAZ
1,Selected,A1,2,,0,0,,,,B1,,,,,,AAZ
2,Selected,A2,3,,0,0,,,,B1,,,,,,AAZ
3,Selected,A2,1,,0,0,,,,B1,,,,,,AAZ
4,Selected,A2,2,,1,1,,,,B1,,,,,,AAZ
5,Selected,A1,1,,1,1,,,,B1,,,,,,AAZ
6,Selected,A1,3,,1,1,,,,B1,,,,,,AAZ
7,Selected,A1,2,,1,1,,,,B1,,,,,,AAZ
8,Selected,A1,5,,1,1,,,,B1,,,,,,AAZ
9,Selected,A1,3,,1,1,,,,B1,,,,,,AAZ
10,Selected,A2,3,,1,1,,,,B1,,,,,,AAZ
11,Selected,A2,1,,1,1,,,,B1,,,,,,AAZ
12,Selected,A1,3,,0,0,,,,B1,,,,,,AAZ
13,Selected,A1,5,,0,0,,,,B2,,,,,,AAZ
14,Selected,A2,3,,0,0,,,,B2,,,,,,AAZ
15,Selected,A2,2,,0,0,,,,B2,,,,,,AAZ
16,Selected,A2,5,,0,0,,,,B2,,,,,,AAZ
17,Selected,A2,2,,0,0,,,,B1,,,,,,AAZ
18,Selected,A1,3,,0,0,,,,B1,,,,,,AAZ
19,Selected,A1,5,,0,0,,,,B1,,,,,,AAZ
20,Selected,A2,3,,0,0,,,,B1,,,,,,AAZ
21,Selected,A2,3,,0,0,,,,B1,,,,,,AAZ
22,Selected,A2,3,,0,0,,,,B1,,,,,,AAZ
23,Selected,A1,2,,0,0,,,,B1,,,,,,AAZ
24,Selected,A1,1,,0,0,,,,B2,,,,,,AAZ
25,Selected,A2,3,,0,0,,,,B1,,,,,,AAZ
26,Selected,A2,2,,0,0,,,,B1,,,,,,AAZ
27,Selected,A2,1,,0,0,,,,B1,,,,,,AAZ
28,Selected,A2,2,,0,0,,,,B1,,,,,,AAZ
29,Selected,A2,2,,0,0,,,,B1,,,,,,AAZ
30,Selected,A1,5,,0,0,,,,B1,,,,,,AAZ
31,Selected,A1,1,,0,0,,,,B1,,,,,,AAZ
32,Selected,A1,5,,0,0,,,,B1,,,,,,AAZ
33,Selected,A2,1,,0,0,,,,B1,,,,,,AAZ
34,Selected,A1,3,,0,0,,,,B2,,,,,,AAZ
35,Selected,A1,3,,0,0,,,,B2,,,,,,AAZ
36,Selected,A1,3,,0,0,,,,B2,,,,,,AAZ
37,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
38,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
39,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
40,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
41,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
42,Not selected,A1,2,,0,0,,,,B1,,,,,,AAZ
43,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
44,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
45,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
46,Not selected,A1,5,,1,1,,,,B1,,,,,,AAZ
47,Not selected,A2,1,,1,1,,,,B1,,,,,,AAZ
48,Not selected,A1,5,,1,1,,,,B1,,,,,,AAZ
49,Not selected,A1,2,,1,1,,,,B1,,,,,,AAZ
50,Not selected,A1,3,,1,1,,,,B1,,,,,,AAZ
51,Not selected,A1,5,,1,1,,,,B1,,,,,,AAZ
52,Not selected,A2,5,,1,1,,,,B1,,,,,,AAZ
53,Not selected,A1,3,,1,1,,,,B1,,,,,,AAZ
54,Not selected,A1,3,,1,1,,,,B1,,,,,,AAZ
55,Not selected,A1,1,,1,1,,,,B1,,,,,,AAZ
56,Not selected,A2,3,,1,1,,,,B1,,,,,,AAZ
57,Not selected,A2,3,,1,1,,,,B1,,,,,,AAZ
58,Not selected,A2,5,,1,1,,,,B1,,,,,,AAZ
59,Not selected,A1,3,,1,1,,,,B1,,,,,,AAZ
60,Not selected,A2,1,,1,1,,,,B1,,,,,,AAZ
61,Not selected,A2,5,,1,1,,,,B1,,,,,,AAZ
62,Not selected,A1,3,,1,1,,,,B1,,,,,,AAZ
63,Not selected,A2,2,,1,1,,,,B1,,,,,,AAZ
64,Not selected,A2,1,,0,0,,,,B1,,,,,,AAZ
65,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
66,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
67,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
68,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
69,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
70,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
71,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
72,Not selected,A2,1,,0,0,,,,B1,,,,,,AAZ
73,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
74,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
75,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
76,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
77,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
78,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
79,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
80,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
81,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
82,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
83,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
84,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
85,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
86,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
87,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
88,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
89,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
90,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
91,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
92,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
93,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
94,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
95,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
96,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
97,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
98,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
99,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
100,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
101,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
102,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
103,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
104,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
105,Not selected,A2,1,,0,0,,,,B1,,,,,,AAZ
106,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
107,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
108,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
109,Not selected,A1,1,,0,0,,,,B1,,,,,,AAZ
110,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
111,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
112,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
113,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
114,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
115,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
116,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
117,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
118,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
119,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
120,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
121,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
122,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
123,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
124,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
125,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
126,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
127,Not selected,A1,2,,0,0,,,,B1,,,,,,AAZ
128,Not selected,A2,1,,0,0,,,,B1,,,,,,AAZ
129,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
130,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
131,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
132,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
133,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
134,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
135,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
136,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
137,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
138,Not selected,A1,2,,0,0,,,,B1,,,,,,AAZ
139,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
140,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
141,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
142,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
143,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
144,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
145,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
146,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
147,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
148,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
149,Not selected,A2,2,,0,0,,,,B2,,,,,,AAZ
150,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
151,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
152,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
153,Not selected,A2,2,,0,0,,,,B2,,,,,,AAZ
154,Not selected,A1,2,,0,0,,,,B1,,,,,,AAZ
155,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
156,Not selected,A2,2,,0,0,,,,B2,,,,,,AAZ
157,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
158,Not selected,A1,2,,0,0,,,,B2,,,,,,AAZ
159,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
160,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
161,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
162,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
163,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
164,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
165,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
166,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
167,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
168,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
169,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
170,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
171,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
172,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
173,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
174,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
175,Not selected,A1,2,,0,0,,,,B1,,,,,,AAZ
176,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
177,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
178,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
179,Not selected,A1,2,,0,0,,,,B1,,,,,,AAZ
180,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
181,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
182,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
183,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
184,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
185,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
186,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
187,Not selected,A1,2,,0,0,,,,B1,,,,,,AAZ
188,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
189,Not selected,A1,2,,0,0,,,,B1,,,,,,AAZ
190,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
191,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
192,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
193,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
194,Not selected,A1,2,,0,0,,,,B1,,,,,,AAZ
195,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
196,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
197,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
198,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
199,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
200,Not selected,A1,2,,0,0,,,,B1,,,,,,AAZ
201,Not selected,A2,1,,0,0,,,,B1,,,,,,AAZ
202,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
203,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
204,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
205,Not selected,A1,2,,0,0,,,,B1,,,,,,AAZ
206,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
207,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
208,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
209,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
210,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
211,Not selected,A1,2,,0,0,,,,B1,,,,,,AAZ
212,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
213,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
214,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
215,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
216,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
217,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
218,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
219,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
220,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
221,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
222,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
223,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
224,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
225,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
226,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
227,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
228,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
229,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
230,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
231,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
232,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
233,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
234,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
235,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
236,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
237,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
238,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
239,Not selected,A2,3,,0,0,,,,B2,,,,,,AAZ
240,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
241,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
242,Not selected,A2,5,,0,0,,,,B2,,,,,,AAZ
243,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
244,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
245,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
246,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
247,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
248,Not selected,,3,,0,0,,,,B1,,,,,,AAZ
249,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
250,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
251,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
252,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
253,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
254,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
255,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
256,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
257,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
258,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
259,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
260,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
261,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
262,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
263,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
264,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
265,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
266,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
267,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
268,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
269,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
270,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
271,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
272,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
273,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
274,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
275,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
276,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
277,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
278,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
279,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
280,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
281,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
282,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
283,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
284,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
285,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
286,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
287,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
288,Not selected,A1,5,,0,0,,,,B2,,,,,,AAZ
289,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
290,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
291,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
292,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
293,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
294,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
295,Not selected,A2,1,,0,0,,,,B1,,,,,,AAZ
296,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
297,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
298,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
299,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
300,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
301,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
302,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
303,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
304,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
305,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
306,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
307,Not selected,A2,5,,0,0,,,,B2,,,,,,AAZ
308,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
309,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
310,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
311,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
312,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
313,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
314,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
315,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
316,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
317,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
318,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
319,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
320,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
321,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
322,Not selected,A2,5,,0,0,,,,B2,,,,,,AAZ
323,Not selected,A2,5,,0,0,,,,B2,,,,,,AAZ
324,Not selected,A1,5,,0,0,,,,B2,,,,,,AAZ
325,Not selected,A1,5,,0,0,,,,B2,,,,,,AAZ
326,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
327,Not selected,A1,2,,0,0,,,,B2,,,,,,AAZ
328,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
329,Not selected,A2,5,,0,0,,,,B2,,,,,,AAZ
330,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
331,Not selected,A1,5,,0,0,,,,B2,,,,,,AAZ
332,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
333,Not selected,A1,5,,0,0,,,,B2,,,,,,AAZ
334,Not selected,A2,2,,0,0,,,,B2,,,,,,AAZ
335,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
336,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
337,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
338,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
339,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
340,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
341,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
342,Not selected,A2,1,,0,0,,,,B1,,,,,,AAZ
343,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
344,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
345,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
346,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
347,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
348,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
349,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
350,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
351,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
352,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
353,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
354,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
355,Not selected,A2,5,,0,0,,,,B1,,,,,,AAZ
356,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
357,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
358,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
359,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
360,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
361,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
362,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
363,Not selected,A2,2,,0,0,,,,B1,,,,,,AAZ
364,Not selected,A1,1,,0,0,,,,B1,,,,,,AAZ
365,Not selected,A2,2,,1,1,,,,B1,,,,,,AAZ
366,Not selected,A2,3,,1,1,,,,B1,,,,,,AAZ
367,Not selected,A1,5,,1,1,,,,B1,,,,,,AAZ
368,Not selected,A1,3,,0,0,,,,B1,,,,,,AAZ
369,Not selected,A2,3,,0,0,,,,B1,,,,,,AAZ
370,Not selected,A2,3,,0,0,,,,B2,,,,,,AAZ
371,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
372,Not selected,A1,5,,0,0,,,,B1,,,,,,AAZ
373,Selected,A1,2,0,0,0,,,,,,,,,,ABD
374,Selected,A2,2,0,0,0,,,,,,,,,,ABD
375,Selected,A2,3,0,0,0,,,,,,,,,,ABD
376,Selected,A1,2,0,0,0,,,,,,,,,,ABD
377,Selected,A1,2,0,0,0,,,,,,,,,,ABD
378,Selected,A2,2,0,0,0,,,,,,,,,,ABD
379,Selected,A2,2,0,0,0,,,,,,,,,,ABD
380,Selected,A2,2,0,0,0,,,,,,,,,,ABD
381,Selected,A1,3,1,0,1,,,,,,,,,,ABD
382,Selected,A1,3,1,0,1,,,,,,,,,,ABD
383,Selected,A1,1,0,0,0,,,,,,,,,,ABD
384,Selected,A1,3,0,1,1,,,,,,,,,,ABD
385,Selected,A2,3,0,1,1,,,,,,,,,,ABD
386,Selected,A2,5,0,0,0,,,,,,,,,,ABD
387,Selected,A1,5,0,1,1,,,,,,,,,,ABD
388,Selected,A2,5,0,0,0,,,,,,,,,,ABD
389,Selected,A1,5,0,0,0,,,,,,,,,,ABD
390,Selected,A1,5,0,0,0,,,,,,,,,,ABD
391,Selected,A1,5,0,0,0,,,,,,,,,,ABD
392,Selected,A2,5,0,0,0,,,,,,,,,,ABD
393,Selected,A2,3,0,0,0,,,,,,,,,,ABD
394,Selected,A1,1,0,0,0,,,,,,,,,,ABD
395,Selected,A2,3,0,1,1,,,,,,,,,,ABD
396,Selected,A2,3,0,1,1,,,,,,,,,,ABD
397,Selected,A2,3,0,0,0,,,,,,,,,,ABD
398,Selected,A2,3,0,0,0,,,,,,,,,,ABD
399,Selected,A2,3,0,0,0,,,,,,,,,,ABD
400,Selected,A1,3,0,0,0,,,,,,,,,,ABD
401,"Selected, dropped out",A1,3,0,0,0,,,,,,,,,,ABD
402,Selected,A1,1,0,0,0,,,,,,,,,,ABD
403,Selected,A1,1,0,0,0,,,,,,,,,,ABD
404,Selected,A2,2,0,0,0,,,,,,,,,,ABD
405,Selected,A1,2,0,0,0,,,,,,,,,,ABD
406,Selected,A1,2,0,0,0,,,,,,,,,,ABD
407,Selected,A2,2,0,0,0,,,,,,,,,,ABD
408,Selected,A2,2,0,0,0,,,,,,,,,,ABD
409,Not selected,A2,2,0,1,1,,,,,,,,,,ABD
410,Not selected,A1,2,0,0,0,,,,,,,,,,ABD
411,Not selected,A2,2,0,0,0,,,,,,,,,,ABD
412,Not selected,A2,2,0,0,0,,,,,,,,,,ABD
413,Not selected,A2,5,0,0,0,,,,,,,,,,ABD
414,Not selected,A1,3,0,0,0,,,,,,,,,,ABD
415,Not selected,A1,3,0,0,0,,,,,,,,,,ABD
416,Not selected,A1,3,0,0,0,,,,,,,,,,ABD
417,Not selected,A1,3,0,0,0,,,,,,,,,,ABD
418,Not selected,A2,3,0,0,0,,,,,,,,,,ABD
419,Not selected,A1,3,0,0,0,,,,,,,,,,ABD
420,Not selected,A1,3,0,0,0,,,,,,,,,,ABD
421,Not selected,A1,3,0,1,1,,,,,,,,,,ABD
422,Not selected,A1,3,0,0,0,,,,,,,,,,ABD
423,Not selected,A2,3,0,0,0,,,,,,,,,,ABD
424,Not selected,A1,3,0,0,0,,,,,,,,,,ABD
425,Not selected,A2,3,0,0,0,,,,,,,,,,ABD
426,Not selected,A2,3,0,0,0,,,,,,,,,,ABD
427,Not selected,A2,3,0,0,0,,,,,,,,,,ABD
